event_id,latitude,longitude,event_date,state,dataset,source_dataset,source_id,landslide_type,physical_factors,reliability,spatial_accuracy,record_type,fatalities,injuries,LINK
289,27.43389881,92.51480639,2009-07-29,Arunachal Pradesh,UGLC,Global fatal landslide Catalog,1930,ND,rainfall (T),9,48346,event,1,-99999,Source: 'http://ptinews.com/news/208923_Three-army-jawans-die-in-Arunachal-road-accident'
338,27.7,92.8,2009-08-12,Arunachal Pradesh,UGLC,Cooperative Open Online Landslide Repository - NASA,1084,earth slide,rainfall (T),9,5000,report,0,0,Source: 'http://timesofindia.indiatimes.com/news/city/guwahati/Landslides-snap-road-links-in-Arunachal-district/articleshow/4916000.cms'
451,27.27460429,93.58822996,2009-08-13,Arunachal Pradesh,UGLC,Global fatal landslide Catalog,1967,ND,rainfall (T),9,33533,event,2,-99999,Source: 'http://www.centralchronicle.com/viewnews.asp?articleID=12341'
412,27.85864784,93.3299562,2010-04-02,Arunachal Pradesh,UGLC,Global fatal landslide Catalog,2282,ND,rainfall (T),9,10682,event,7,-99999,Source: 'http://www.assamtribune.com/scripts/detailsnew.asp?id=apr0410/oth06'
413,27.8997,93.3497,2010-04-02,Arunachal Pradesh,UGLC,Cooperative Open Online Landslide Repository - NASA,1613,mudslide,rainfall (T),7,1000,report,12,0,Source: 'http://english.peopledaily.com.cn/90001/90777/90852/6938742.html'
696,28.95510068,95.94281647,2010-04-21,Arunachal Pradesh,UGLC,Global fatal landslide Catalog,2312,ND,rainfall (T),9,48906,event,12,-99999,Source: 'http://www.ptinews.com/news/620779_Heavy-rains-in-Arunachal-Pradesh-claim-12-lives'
702,27.8965,96.1779,2010-04-21,Arunachal Pradesh,UGLC,Cooperative Open Online Landslide Repository - NASA,1775,earth slide,rainfall (T),10,-99999,report,12,0,"Source: 'http://www.portal.gsi.gov.in/portal/page?_pageid=127,875814&_dad=portal&_schema=PORTAL'"
695,28.4298,95.8776,2010-05-31,Arunachal Pradesh,UGLC,Cooperative Open Online Landslide Repository - NASA,1930,earth slide,rainfall (T),9,50000,report,0,0,Source: 'http://www.indianexpress.com/news/N-E-border-dist-cut-off-by-landslides--runs-out-of-supplies/627610'
670,28.82834932,94.90818665,2010-09-07,Arunachal Pradesh,UGLC,Global fatal landslide Catalog,2575,ND,rainfall (T),9,47258,event,10,-99999,Source: 'http://sify.com/news/landslides-kill-10-in-arunachal-pradesh-news-national-kjkuflbfbci.html'
688,28.3036,95.4112,2010-09-09,Arunachal Pradesh,UGLC,Cooperative Open Online Landslide Repository - NASA,2405,earth slide,rainfall (T),10,-99999,report,10,0,Source: 'http://timesofindia.indiatimes.com/india/13-killed-as-rains-wrack-havoc-in-north-and-eastern-India-/articleshow/6532367.cms'
689,28.3092,95.4149,2010-10-03,Arunachal Pradesh,UGLC,Cooperative Open Online Landslide Repository - NASA,2539,earth slide,rainfall (T),9,25000,report,10,0,"Source: 'http://www.portal.gsi.gov.in/portal/page?_pageid=127,875814&_dad=portal&_schema=PORTAL'"
210,27.5798729,91.85672387,2010-11-22,Arunachal Pradesh,UGLC,Cooperative Open Online Landslide Repository - NASA,2743,earth slide,ND,7,1000,report,0,0,Source: 'http://www.dnaindia.com/india/report_tawang-monastery-faces-danger-due-to-landslides_1472890'
705,28.0791,96.5242,2011-03-22,Arunachal Pradesh,UGLC,Cooperative Open Online Landslide Repository - NASA,3269,earth slide,rainfall (T),9,10000,report,0,0,Source: 'http://articles.timesofindia.indiatimes.com/2011-03-23/guwahati/29178165_1_road-links-rainfall-source'
488,27.125,93.7145,2011-07-15,Arunachal Pradesh,UGLC,Cooperative Open Online Landslide Repository - NASA,3776,earth slide,rainfall (T),9,5000,report,0,0,Source: 'http://ibnlive.in.com/generalnewsfeed/news/flash-floods-landslides-in-arunachal-pradesh/757817.html'
370,27.2743,92.9064,2011-07-16,Arunachal Pradesh,UGLC,Cooperative Open Online Landslide Repository - NASA,3789,earth slide,rainfall (T),9,10000,report,0,0,Source: 'http://english.samaylive.com/regional-news/others-news/676490549/flash-floods-in-arunachal-pradesh.html'
410,28.03804909,93.31778108,2011-07-19,Arunachal Pradesh,UGLC,Global fatal landslide Catalog,2878,ND,rainfall (T),9,42677,event,1,-99999,Source: 'http://ibnlive.in.com/generalnewsfeed/news/three-killed-in-landslides/758753.html'
452,27.27460429,93.58822996,2011-07-19,Arunachal Pradesh,UGLC,Global fatal landslide Catalog,2877,ND,rainfall (T),9,33533,event,1,-99999,Source: 'http://ibnlive.in.com/generalnewsfeed/news/three-killed-in-landslides/758753.html'
482,27.1032,93.6884,2011-07-19,Arunachal Pradesh,UGLC,Cooperative Open Online Landslide Repository - NASA,3806,earth slide,rainfall (T),9,10000,report,3,0,Source: 'http://ibnlive.in.com/generalnewsfeed/news/three-killed-in-landslides/758753.html'
483,27.1034,93.6885,2011-08-05,Arunachal Pradesh,UGLC,Cooperative Open Online Landslide Repository - NASA,3881,earth slide,rainfall (T),9,5000,report,0,0,Source: 'http://articles.timesofindia.indiatimes.com/2011-08-06/guwahati/29861700_1_water-supply-drinking-water-landslides'
265,27.44,92.2833,2011-08-12,Arunachal Pradesh,UGLC,Cooperative Open Online Landslide Repository - NASA,3912,earth slide,rainfall (T),9,50000,report,0,0,Source: 'http://www.inewsone.com/2011/08/12/iaf-airdrops-food-to-marooned-in-arunachal/68478'
383,27.4888,93.0153,2011-08-15,Arunachal Pradesh,UGLC,Cooperative Open Online Landslide Repository - NASA,3925,earth slide,rainfall (T),9,50000,report,0,0,Source: 'http://www.indianexpress.com/news/landslides-cut-off-arunachal-districts-iaf-to-the-rescue/833599/'
694,28.4659,95.86,2012-04-08,Arunachal Pradesh,UGLC,Cooperative Open Online Landslide Repository - NASA,4313,earth slide,rainfall (T),9,50000,report,0,0,Source: 'http://timesofindia.indiatimes.com/Landslides-snap-road-links-in-Dibang-Valley/articleshow/12601499.cms'
700,28.8254,96.1517,2012-06-02,Arunachal Pradesh,UGLC,Cooperative Open Online Landslide Repository - NASA,4378,earth slide,rainfall (T),9,50000,report,0,0,Source: 'http://isikkim.com/2012-06-landslides-disrupt-surface-communication-in-arunachal-pradesh-05-9/'
698,29.2409,95.9761,2012-06-06,Arunachal Pradesh,UGLC,Cooperative Open Online Landslide Repository - NASA,4392,earth slide,rainfall (T),9,10000,report,0,0,Source: 'http://allafrica.com/stories/201206051178.html'
615,28.0650067,94.28586765,2012-06-20,Arunachal Pradesh,UGLC,Global fatal landslide Catalog,3267,ND,rainfall (T),9,12673,event,2,-99999,Source: 'http://zeenews.india.com/news/north-east/father-son-killed-as-landslide-flattens-house_783080.html'
692,26.9986,95.4993,2012-06-25,Arunachal Pradesh,UGLC,Cooperative Open Online Landslide Repository - NASA,4436,earth slide,rainfall (T),9,50000,report,0,0,Source: 'http://articles.timesofindia.indiatimes.com/2012-07-04/guwahati/32536229_1_massive-landslides-landslide-hit-road-blockade'
693,27.174,95.8011,2012-06-25,Arunachal Pradesh,UGLC,Cooperative Open Online Landslide Repository - NASA,4435,earth slide,rainfall (T),9,10000,report,0,0,Source: 'http://articles.timesofindia.indiatimes.com/2012-07-04/guwahati/32536229_1_massive-landslides-landslide-hit-road-blockade'
669,28.9986,94.8885,2012-07-05,Arunachal Pradesh,UGLC,Cooperative Open Online Landslide Repository - NASA,4446,earth slide,rainfall (T),9,5000,report,0,0,Source: 'http://articles.timesofindia.indiatimes.com/2012-07-07/guwahati/32577108_1_arunachal-district-landslides-arunachal-pradesh'
685,27.8458,95.2253,2012-09-19,Arunachal Pradesh,UGLC,Cooperative Open Online Landslide Repository - NASA,4570,earth slide,rainfall (T),7,1000,report,0,0,Source: 'http://articles.timesofindia.indiatimes.com/2012-09-19/guwahati/33951873_1_landslides-road-communication-water-tank'
684,28.1193,95.1645,2013-02-18,Arunachal Pradesh,UGLC,Cooperative Open Online Landslide Repository - NASA,4757,earth slide,rainfall (T),9,5000,report,3,2,Source: 'http://articles.timesofindia.indiatimes.com/2013-02-20/guwahati/37199432_1_fire-mishap-east-siang-massive-landslide'
683,28.11790893,95.16329131,2013-02-19,Arunachal Pradesh,UGLC,Global fatal landslide Catalog,3505,ND,rainfall (T),9,33931,event,3,-99999,Source: 'http://www.deccanchronicle.com/130219/news-current-affairs/article/three-killed-landslide-arunachal'
699,28.8254,96.1509,2013-04-07,Arunachal Pradesh,UGLC,Cooperative Open Online Landslide Repository - NASA,4798,earth slide,rainfall (T),10,-99999,report,0,0,Source: 'http://www.ndtv.com/article/cities/landslide-triggered-by-heavy-rains-in-arunachal-pradesh-351219'
611,27.8776,94.25,2013-06-01,Arunachal Pradesh,UGLC,Cooperative Open Online Landslide Repository - NASA,4892,earth slide,rainfall (T),9,50000,report,0,0,Source: 'http://articles.timesofindia.indiatimes.com/2013-07-28/guwahati/40848148_1_daporijo-upper-subansiri-landslides'
391,27.8837,93.0515,2013-08-01,Arunachal Pradesh,UGLC,Cooperative Open Online Landslide Repository - NASA,5250,mudslide,rainfall (T),9,10000,report,0,0,Source: 'http://www.thehindubusinessline.com/news/states/landslide-blocks-polo-river-in-arunachal-pradesh/article4996075.ece'
492,27.1614,93.7525,2013-09-02,Arunachal Pradesh,UGLC,Cooperative Open Online Landslide Repository - NASA,5442,earth slide,rainfall (T),10,-99999,report,0,0,Source: 'http://ibnlive.in.com/news/massive-landslide-in-arunachal-due-to-rainfall-2-districts-remain-cut-off/420409-3-229.html'
676,28.611,94.9829,2013-09-02,Arunachal Pradesh,UGLC,Cooperative Open Online Landslide Repository - NASA,5441,earth slide,rainfall (T),9,5000,report,0,0,Source: 'http://articles.timesofindia.indiatimes.com/2013-09-08/guwahati/41872983_1_flood-situation-arunachal-pradesh-landslides'
701,27.9032,96.174,2014-05-08,Arunachal Pradesh,UGLC,Cooperative Open Online Landslide Repository - NASA,6015,mudslide,rainfall (T),7,1000,report,0,0,Source: 'http://www.business-standard.com/article/pti-stories/communication-to-tezu-snapped-due-to-landslide-114051000401_1.html'
686,28.9205,95.3429,2014-06-26,Arunachal Pradesh,UGLC,Cooperative Open Online Landslide Repository - NASA,6105,earth slide,rainfall (T),10,-99999,report,0,0,Source: 'http://timesofindia.indiatimes.com/india/Landslides-in-Arunachal-Pradesh-due-to-incessant-rain/articleshow/37379365.cms'
691,28.1636166,95.45770808,2014-08-14,Arunachal Pradesh,UGLC,Global fatal landslide Catalog,4109,ND,rainfall (T),9,1881,event,1,-99999,Source: 'http://timesofindia.indiatimes.com/City/Guwahati/Landslides-kill-4-in-Tripura-Arunachal/articleshow/40287315.cms'
453,27.27460429,93.58822996,2014-08-16,Arunachal Pradesh,UGLC,Global fatal landslide Catalog,4122,ND,rainfall (T),9,33533,event,2,-99999,Source: 'http://www.business-standard.com/article/pti-stories/two-of-a-family-killed-in-landslide-many-feared-trapped-114081600494_1.html'
462,27.0869,93.6086,2014-08-17,Arunachal Pradesh,UGLC,Cooperative Open Online Landslide Repository - NASA,6200,earth slide,rainfall (T),9,10000,report,0,0,Source: 'http://news.oneindia.in/india/flood-landslides-in-arunachal-pradesh-1504142.html'
427,27.2956128,93.47945113,2014-08-25,Arunachal Pradesh,UGLC,Global fatal landslide Catalog,4135,ND,rainfall (T),9,13542,event,1,-99999,Source: 'http://www.assamtribune.com/scripts/detailsnew.asp?id=aug2614/oth050'
466,27.01608306,93.61787466,2014-10-01,Arunachal Pradesh,UGLC,Global fatal landslide Catalog,4177,ND,rainfall (T),9,3445,event,5,-99999,Source: 'http://www.business-standard.com/article/pti-stories/5-die-in-landslide-114100101086_1.html'
493,27.1249,93.7706,2014-10-01,Arunachal Pradesh,UGLC,Cooperative Open Online Landslide Repository - NASA,6222,earth slide,ND,9,5000,report,5,0,Source: 'http://www.assamtribune.com/scripts/detailsnew.asp?id=oct0214/oth052'
290,27.06709064,92.51611908,2015-01-01,Arunachal Pradesh,UGLC,Global fatal landslide Catalog,4228,ND,ND,9,5279,event,6,-99999,Source: 'http://www.arunachaltimes.in/'
454,27.27460429,93.58822996,2015-06-09,Arunachal Pradesh,UGLC,Global fatal landslide Catalog,4349,ND,rainfall (T),9,33533,event,2,-99999,Source: 'http://www.business-standard.com/article/pti-stories/2-die-2-injured-in-landslide-in-arunachal-pradesh-115060901332_1.html'
498,27.0987,93.816,2015-06-09,Arunachal Pradesh,UGLC,Cooperative Open Online Landslide Repository - NASA,6971,earth slide,rainfall (T),9,5000,report,2,2,Source: 'http://www.firstpost.com/india/two-dead-2-injured-landslide-arunachal-pradesh-school-remain-shut-heavy-rainfall-alert-2287954.html'
387,27.2939969,93.03203401,2015-07-15,Arunachal Pradesh,UGLC,Global fatal landslide Catalog,4414,ND,rainfall (T),9,36089,event,3,-99999,Source: 'http://www.ndtv.com/andhra-pradesh-news/3-killed-in-landslide-in-arunachal-pradesh-781829'
388,27.36,93.0385,2015-07-15,Arunachal Pradesh,UGLC,Cooperative Open Online Landslide Repository - NASA,7214,earth slide,rainfall (T),9,5000,report,3,0,Source: 'http://www.ndtv.com/andhra-pradesh-news/3-killed-in-landslide-in-arunachal-pradesh-781829'
707,27.8835,96.9262,2015-08-16,Arunachal Pradesh,UGLC,Cooperative Open Online Landslide Repository - NASA,7887,earth slide,rainfall (T),9,50000,report,0,0,Source: 'http://timesofindia.indiatimes.com/city/guwahati/Landslide-cuts-off-Anjaw-district-food-prices-rise/articleshow/48715682.cms'
659,28.1737,94.7596,2015-08-18,Arunachal Pradesh,UGLC,Cooperative Open Online Landslide Repository - NASA,7334,earth slide,ND,10,-99999,report,1,0,Source: 'http://news.webindia123.com/news/Articles/India/20150820/2664183.html'
240,27.65571323,91.9183042,2015-11-30,Arunachal Pradesh,UGLC,Global fatal landslide Catalog,4581,ND,rainfall (T),9,26162,event,1,-99999,Source: 'http://timesofindia.indiatimes.com/city/guwahati/Landslide-kills-one-in-Arunachal-dist/articleshow/50007194.cms'
209,27.56050601,91.85453807,2016-04-21,Arunachal Pradesh,UGLC,Global fatal landslide Catalog,4684,ND,rainfall (T),5,387,event,18,-99999,Source: 'http://www.india.com/news/india/arunachal-pradesh-17-killed-in-landslide-rescue-ops-underway-1128278/'
160,27.5523,91.752,2016-04-22,Arunachal Pradesh,UGLC,Cooperative Open Online Landslide Repository - NASA,9428,earth slide,rainfall (T),9,10000,report,2,4,Source: 'http://www.arunachaltimes.in/two-killed-in-lumla-landslide-four-injured/'
211,27.5799,91.8569,2016-04-22,Arunachal Pradesh,UGLC,Cooperative Open Online Landslide Repository - NASA,7655,earth slide,rainfall (T),9,5000,report,17,0,Source: 'http://zeenews.india.com/news/north-east/landslide-in-tawang-area-of-arunachal-pradesh-watch-video_1878690.html'
158,27.53354595,91.74722733,2016-04-23,Arunachal Pradesh,UGLC,Global fatal landslide Catalog,4688,ND,rainfall (T),9,5127,event,2,-99999,Source: 'http://wap.business-standard.com/article/news-ians/another-landslide-in-arunachal-toll-now-19-rijiju-visits-area-116042300691_1.html'
704,28.14230982,96.41232469,2016-04-23,Arunachal Pradesh,UGLC,Global fatal landslide Catalog,4690,ND,rainfall (T),9,14334,event,1,-99999,Source: 'http://www.arunachaltimes.in/1-dead-anjaw-cut-off/'
706,28.0822,96.5316,2016-05-01,Arunachal Pradesh,UGLC,Cooperative Open Online Landslide Repository - NASA,9404,earth slide,rainfall (T),7,1000,report,0,0,Source: 'http://www.business-standard.com/article/pti-stories/landslides-in-arunachal-district-no-loss-of-life-116050200846_1.html'
508,27.6438,93.871,2016-06-12,Arunachal Pradesh,UGLC,Cooperative Open Online Landslide Repository - NASA,9168,earth slide,rainfall (T),9,10000,report,0,0,Source: 'http://www.arunachaltimes.in/landslide-blocks-ziro-tamen-road/'
286,27.02574287,92.5064008,2016-07-01,Arunachal Pradesh,UGLC,Global fatal landslide Catalog,4797,ND,rainfall (T),9,10489,event,10,-99999,Source: 'http://economictimes.indiatimes.com/news/politics-and-nation/ten-killed-in-landslide-in-arunachal-pradesh/articleshow/53010336.cms'
298,27.0136,92.6351,2016-07-01,Arunachal Pradesh,UGLC,Cooperative Open Online Landslide Repository - NASA,8237,earth slide,rainfall (T),7,1000,report,5,3,Source: 'http://www.thehindu.com/news/national/many-killed-in-arunachal-landslip/article8798739.ece'
489,27.224587,93.71612869,2016-07-16,Arunachal Pradesh,UGLC,Global fatal landslide Catalog,4839,ND,rainfall (T),9,4229,event,1,-99999,Source: 'http://www.arunachaltimes.in/body-of-amit-lama-recovered/'
496,27.3034,93.804,2016-07-16,Arunachal Pradesh,UGLC,Cooperative Open Online Landslide Repository - NASA,9010,mudslide,rainfall (T),9,5000,report,1,0,Source: 'http://www.arunachaltimes.in/man-washed-away-by-mudslide/'
674,28.235,94.9612,2016-07-19,Arunachal Pradesh,UGLC,Cooperative Open Online Landslide Repository - NASA,9087,earth slide,rainfall (T),9,50000,report,0,0,Source: 'http://www.nelive.in/arunachal-pradesh/news/landslide-disrupts-road-communication-between-aalo-and-pangin'
218,27.5748,91.8644,2016-07-28,Arunachal Pradesh,UGLC,Cooperative Open Online Landslide Repository - NASA,9252,earth slide,rainfall (T),9,5000,report,0,0,Source: 'http://www.arunachaltimes.in/monsoon-fury-continues-to-pound-tawang/'
258,27.5754,91.9754,2016-08-05,Arunachal Pradesh,UGLC,Cooperative Open Online Landslide Repository - NASA,9464,earth slide,rainfall (T),9,5000,report,0,3,Source: 'http://www.business-standard.com/article/pti-stories/three-injured-houses-collapse-in-landslide-in-arunachal-116080700399_1.html'
690,26.95494403,95.45144698,2016-08-15,Arunachal Pradesh,UGLC,Global fatal landslide Catalog,4914,ND,rainfall (T),9,25964,event,1,-99999,Source: 'http://www.assamtribune.com/scripts/detailsnew.asp?id=aug1716/oth054'
687,26.88161,95.399897,2016-08-16,Arunachal Pradesh,UGLC,Cooperative Open Online Landslide Repository - NASA,9869,earth slide,ND,9,25000,report,1,0,Source: 'http://www.assamtribune.com/scripts/detailsnew.asp?id=aug1716/oth054'
703,27.99478607,96.39558755,2016-08-31,Arunachal Pradesh,UGLC,Global fatal landslide Catalog,4934,ND,rainfall (T),9,1337,event,1,-99999,Source: 'http://www.arunachaltimes.in/brtf-driver-still-untraceable/'
374,27.51135213,92.94770476,2017-04-04,Arunachal Pradesh,UGLC,Global fatal landslide Catalog,5129,ND,"anthropic (T,P)",9,10051,event,1,-99999,Source: 'http://www.arunachaltimes.in/worker-buried-alive-in-landslide/'
411,28.03804909,93.31778108,2017-04-22,Arunachal Pradesh,UGLC,Global fatal landslide Catalog,5147,ND,"anthropic (T,P)",9,42677,event,3,-99999,Source: 'http://www.arunachaltimes.in/three-dead-in-palin-landslide/'
472,27.6802471,93.62592773,2017-04-22,Arunachal Pradesh,UGLC,Cooperative Open Online Landslide Repository - NASA,11174,earth slide,rainfall (T),7,1000,report,3,0,Source: 'https://thenortheasttoday.com/arunachal-pradesh-three-assam-labourers-killed-in-a-landslide/'
502,27.61790706,93.84196894,2017-04-22,Arunachal Pradesh,UGLC,Cooperative Open Online Landslide Repository - NASA,11173,earth slide,rainfall (T),9,10000,report,0,0,Source: 'https://thedawnlitpost.com/house-damaged-in-landslide/'
463,27.104022,93.61156568,2017-04-26,Arunachal Pradesh,UGLC,Cooperative Open Online Landslide Repository - NASA,11171,earth slide,rainfall (T),7,1000,report,0,0,Source: 'http://www.hindustantimes.com/india-news/floods-landslides-hit-arunachal-capital-itanagar-following-heavy-rains/story-0FRcHVbMWVXWXotUXVBVuI.html'
471,27.82743132,93.62407259,2017-05-03,Arunachal Pradesh,UGLC,Cooperative Open Online Landslide Repository - NASA,11175,earth slide,rainfall (T),7,1000,report,1,0,Source: 'http://echoofarunachal.in/newecho/2017/05/16/one-dies-in-landslide/'
420,27.97227071,93.37841167,2017-05-24,Arunachal Pradesh,UGLC,Global fatal landslide Catalog,5170,ND,rainfall (T),9,45668,event,1,-99999,Source: 'http://www.arunachaltimes.in/mudslide-kills-one/'
438,27.769793,93.50995626,2017-05-24,Arunachal Pradesh,UGLC,Cooperative Open Online Landslide Repository - NASA,9797,mudslide,rainfall (T),9,25000,report,1,0,Source: 'http://www.arunachaltimes.in/mudslide-kills-one/'
697,28.95510068,95.94281647,2017-06-03,Arunachal Pradesh,UGLC,Global fatal landslide Catalog,5197,ND,rainfall (T),9,48906,event,1,-99999,Source: 'http://www.arunachaltimes.in/landslide-hits-dibang-valley-one-dead/'
446,27.05909317,93.54235868,2017-06-04,Arunachal Pradesh,UGLC,Cooperative Open Online Landslide Repository - NASA,9743,earth slide,ND,9,5000,report,0,0,Source: 'http://www.arunachaltimes.in/pipeline-damaged-in-poma-water-crisis-lingers-on/'
460,27.09934081,93.60722373,2017-06-19,Arunachal Pradesh,UGLC,Global fatal landslide Catalog,5236,ND,rainfall (T),9,7360,event,1,-99999,Source: 'https://www.outlookindia.com/newsscroll/1-killed-3-injured-in-landslide/1079834'
464,27.06992579,93.6146564,2017-06-19,Arunachal Pradesh,UGLC,Cooperative Open Online Landslide Repository - NASA,9829,earth slide,ND,7,1000,report,1,0,Source: 'http://www.arunachaltimes.in/akddsu-mourns-students-death/'
517,28.29168432,93.9324665,2017-06-20,Arunachal Pradesh,UGLC,Global fatal landslide Catalog,5238,ND,rainfall (T),9,45176,event,2,-99999,Source: 'http://www.arunachaltimes.in/man-buried-alive-in-landslide/'
598,28.10756941,94.18315697,2017-06-20,Arunachal Pradesh,UGLC,Cooperative Open Online Landslide Repository - NASA,11176,earth slide,rainfall (T),9,5000,report,1,0,Source: 'http://www.arunachaltimes.in/man-buried-alive-in-landslide/'
445,27.05880384,93.54136779,2017-06-21,Arunachal Pradesh,UGLC,Cooperative Open Online Landslide Repository - NASA,9834,earth slide,rainfall (T),7,1000,report,0,0,Source: 'http://www.arunachaltimes.in/landslide-disrupts-water-supply-again/'
468,27.04768643,93.61899644,2017-06-30,Arunachal Pradesh,UGLC,Cooperative Open Online Landslide Repository - NASA,9933,earth slide,rainfall (T),7,1000,report,0,0,Source: 'http://www.arunachaltimes.in/nature-unleashes-fury-leaves-trail-of-devastation-in-itanagar/'
299,27.01145644,92.64204045,2017-07-01,Arunachal Pradesh,UGLC,Cooperative Open Online Landslide Repository - NASA,9934,earth slide,rainfall (T),7,1000,report,0,0,Source: 'http://www.arunachaltimes.in/nature-unleashes-fury-leaves-trail-of-devastation-in-itanagar/'
461,27.08168565,93.60815652,2017-07-01,Arunachal Pradesh,UGLC,Cooperative Open Online Landslide Repository - NASA,9935,earth slide,rainfall (T),9,5000,report,0,0,Source: 'http://www.arunachaltimes.in/nature-unleashes-fury-leaves-trail-of-devastation-in-itanagar/'
477,27.10647226,93.65975252,2017-07-01,Arunachal Pradesh,UGLC,Cooperative Open Online Landslide Repository - NASA,9932,earth slide,rainfall (T),1,0,report,0,0,Source: 'http://www.arunachaltimes.in/nature-unleashes-fury-leaves-trail-of-devastation-in-itanagar/'
603,27.98531715,94.21263589,2017-07-04,Arunachal Pradesh,UGLC,Cooperative Open Online Landslide Repository - NASA,9998,earth slide,rainfall (T),7,1000,report,0,0,Source: 'http://www.arunachaltimes.in/landslide-washes-away-house-in-daporijo/'
613,27.97875751,94.26296826,2017-07-04,Arunachal Pradesh,UGLC,Cooperative Open Online Landslide Repository - NASA,9993,earth slide,rainfall (T),9,10000,report,0,0,Source: 'http://www.arunachaltimes.in/landslide-washes-away-house-in-daporijo/'
434,27.05957271,93.50102778,2017-07-09,Arunachal Pradesh,UGLC,Cooperative Open Online Landslide Repository - NASA,11169,earth slide,rainfall (T),9,10000,report,0,0,Source: 'http://www.arunachaltimes.in/rebia-inspects-flood-ravaged-itanagar-jote-tapiasso-road-doimukh-circle/'
457,27.07671517,93.59755441,2017-07-09,Arunachal Pradesh,UGLC,Cooperative Open Online Landslide Repository - NASA,11166,earth slide,rainfall (T),9,5000,report,0,0,Source: 'http://www.arunachaltimes.in/arunachal-devastated-by-landslides-and-floods-minor-dead/'
458,27.0844941,93.60505989,2017-07-09,Arunachal Pradesh,UGLC,Cooperative Open Online Landslide Repository - NASA,11172,earth slide,rainfall (T),9,5000,report,0,0,Source: 'http://www.arunachaltimes.in/arunachal-devastated-by-landslides-and-floods-minor-dead/'
467,27.092916,93.61882043,2017-07-09,Arunachal Pradesh,UGLC,Cooperative Open Online Landslide Repository - NASA,11165,earth slide,rainfall (T),1,0,report,0,0,Source: 'http://www.arunachaltimes.in/arunachal-devastated-by-landslides-and-floods-minor-dead/'
476,27.1071241,93.65156438,2017-07-09,Arunachal Pradesh,UGLC,Cooperative Open Online Landslide Repository - NASA,11164,earth slide,rainfall (T),9,5000,report,0,0,Source: 'http://www.arunachaltimes.in/arunachal-devastated-by-landslides-and-floods-minor-dead/'
478,27.14163897,93.66495709,2017-07-09,Arunachal Pradesh,UGLC,Cooperative Open Online Landslide Repository - NASA,11170,mudslide,rainfall (T),9,5000,report,0,0,Source: 'http://www.arunachaltimes.in/arunachal-devastated-by-landslides-and-floods-minor-dead/'
